# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = W11_RL_asymmetric_model
# start_datetime = 2024-03-12 18:53:38 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/98/18p7fygn5473lcp5yfrz9s340000gn/T/RtmpLoYUAL/standata-151eb53196480.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /Users/emmaolsen/Library/Mobile Documents/com~apple~CloudDocs/cognitive_science/00_MS_cogsci/2_adv_cognitive_ modelling/ACMP2_EMMA/simmodels/W11_RL_asymmetric-202403121953-1-0970db.csv
#   diagnostic_file =  (Default)
#   refresh = 1000
#   sig_figs = -1 (Default)
#   profile_file = /Users/emmaolsen/Library/Mobile Documents/com~apple~CloudDocs/cognitive_science/00_MS_cogsci/2_adv_cognitive_ modelling/ACMP2_EMMA/simmodels/W11_RL_asymmetric-profile-202403121953-1-575717.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --O1 --warn-pedantic --name=W11_RL_asymmetric_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha_pos,alpha_neg,temperature
# Adaptation terminated
# Step size = 0.118741
# Diagonal elements of inverse mass matrix:
# 1.90551, 0.662042, 1.74442
-15.8047,0.999964,0.118741,4,15,0,16.0412,0.444353,0.884116,10.2238
-15.1167,1,0.118741,4,15,0,15.8368,0.713861,0.839785,7.59416
-16.0465,0.994233,0.118741,4,31,0,16.5727,0.602384,0.929852,11.7091
-15.6034,0.99458,0.118741,5,39,0,18.6674,0.59118,0.747069,3.79556
-15.5728,0.995056,0.118741,5,39,0,16.9681,0.73105,0.887924,12.4912
-16.4412,0.980837,0.118741,4,15,0,17.7925,0.688802,0.866551,14.5357
-16.4223,0.997926,0.118741,4,15,0,17.7117,0.393153,0.905803,13.9101
-15.8285,0.99636,0.118741,3,15,0,17.8808,0.757583,0.855169,11.9775
-15.5264,0.989609,0.118741,3,15,0,18.7797,0.620605,0.830112,4.98222
-15.8595,0.998774,0.118741,4,31,0,17.6884,0.646813,0.924907,11.9025
-15.2224,0.99987,0.118741,4,31,0,16.2293,0.651168,0.840678,8.7199
-15.3997,0.997685,0.118741,4,31,0,15.7124,0.600988,0.777666,4.40766
-17.4448,0.940107,0.118741,3,7,0,20.1529,0.61608,0.845209,2.99857
-16.6826,1,0.118741,3,7,0,17.7616,0.558187,0.841669,3.62876
-16.7513,0.995986,0.118741,4,31,0,18.1779,0.95005,0.829717,4.43654
-16.123,0.99217,0.118741,4,23,0,18.9692,0.935792,0.812063,4.99156
-15.526,0.999606,0.118741,5,31,0,16.4244,0.877377,0.696922,4.33484
-15.7093,0.998341,0.118741,5,31,0,16.0518,0.534232,0.898626,12.0204
-16.0307,0.99955,0.118741,4,15,0,16.0722,0.485023,0.914546,13.0948
-15.4001,0.998108,0.118741,5,31,0,17.6619,0.713349,0.649608,4.12493
-19.2644,0.981644,0.118741,4,15,0,19.7992,0.668436,0.341493,3.94412
-17.698,0.989937,0.118741,2,7,0,21.1521,0.72832,0.433331,4.11339
-16.5189,0.94946,0.118741,4,15,0,21.6637,0.955775,0.663328,3.62311
-15.6319,0.993443,0.118741,3,15,0,17.4622,0.884433,0.737368,4.04037
-16.1147,0.999475,0.118741,5,31,0,16.5318,0.540475,0.928428,13.5573
-15.8828,0.999056,0.118741,4,15,0,16.4823,0.714472,0.925075,11.0526
-15.8875,0.999488,0.118741,6,63,0,15.9146,0.721887,0.925177,11.0459
-15.7802,0.998188,0.118741,5,31,0,16.8656,0.878379,0.63196,3.72518
-16.0193,0.999632,0.118741,5,31,0,16.3364,0.769499,0.549012,3.53797
-15.7255,0.998198,0.118741,5,31,0,16.7326,0.904325,0.695324,4.09112
-17.2265,0.991882,0.118741,4,31,0,18.4979,0.962044,0.605753,2.96514
-16.7143,0.949119,0.118741,3,7,0,18.8014,0.940072,0.578549,3.19054
-18.5812,0.99413,0.118741,5,31,0,20.5781,0.722982,0.347035,3.59801
-17.8822,0.999706,0.118741,5,31,0,18.8545,0.558053,0.94949,18.9325
-19.1829,0.997411,0.118741,4,15,0,19.4323,0.292131,0.923538,19.3504
-16.3356,0.999769,0.118741,5,31,0,20.8672,0.752973,0.878557,4.77888
-15.2779,0.999245,0.118741,4,15,0,16.8697,0.637335,0.870491,9.46748
-15.1579,0.997493,0.118741,5,39,0,15.5362,0.733333,0.727082,4.45391
-16.5227,0.959294,0.118741,4,19,0,18.1503,0.653224,0.821131,3.35006
-15.3525,0.994513,0.118741,3,7,0,17.1353,0.747413,0.796263,4.53423
-16.1927,0.995908,0.118741,4,31,0,16.8321,0.770144,0.931986,15.4341
-15.8532,0.996939,0.118741,5,31,0,17.2215,0.907333,0.858579,6.69742
-16.6383,0.999385,0.118741,4,15,0,17.1524,0.970036,0.83179,7.26961
-15.7523,0.999528,0.118741,4,27,0,17.1705,0.914636,0.844794,7.60525
-15.9807,0.999308,0.118741,5,31,0,16.9916,0.814872,0.920437,14.2659
-19.6817,0.991381,0.118741,4,15,0,20.0874,0.778982,0.973983,19.2715
-17.0657,0.999869,0.118741,5,31,0,21.4771,0.266261,0.784181,4.83568
-18.9979,0.939418,0.118741,2,3,0,19.1658,0.203332,0.800977,3.98448
-18.1941,0.980128,0.118741,5,31,0,21.7589,0.98228,0.826111,11.2505
-17.7144,0.998522,0.118741,4,31,0,19.926,0.309959,0.944395,8.86878
-17.8414,0.997702,0.118741,4,31,0,19.765,0.14372,0.878363,10.6131
-15.2649,0.999435,0.118741,4,31,0,18.9296,0.762977,0.865217,7.70047
-15.4196,0.999571,0.118741,5,31,0,15.4692,0.782437,0.870009,10.6507
-15.2381,0.999955,0.118741,5,31,0,15.5795,0.790925,0.751386,4.40617
-15.8862,0.974718,0.118741,3,15,0,18.1525,0.744008,0.819482,3.96841
-15.429,0.996258,0.118741,3,15,0,16.5925,0.806533,0.764066,6.93026
-16.6785,0.991656,0.118741,4,31,0,18.6103,0.919298,0.714397,2.96851
-16.6512,0.974474,0.118741,2,3,0,17.3325,0.914868,0.708179,2.94286
-17.3442,0.99997,0.118741,3,15,0,18.0804,0.973743,0.665909,5.55501
-15.6394,0.999658,0.118741,5,31,0,17.6481,0.824343,0.709758,3.46659
-15.3178,0.998759,0.118741,4,15,0,15.8586,0.82725,0.784761,4.82673
-16.6918,0.986645,0.118741,4,23,0,17.7411,0.47307,0.939543,15.4937
-16.3175,0.999937,0.118741,4,15,0,16.875,0.592318,0.932144,15.8441
-17.9984,0.992347,0.118741,4,15,0,19.2636,0.271282,0.93551,7.29988
-16.7454,0.99652,0.118741,5,31,0,18.8943,0.964392,0.814232,4.73955
-15.7043,0.999874,0.118741,4,23,0,17.6532,0.907146,0.785962,4.88431
-15.1507,0.999675,0.118741,4,31,0,16.6305,0.781593,0.771842,4.99378
-15.5255,0.9984,0.118741,4,27,0,15.8565,0.886102,0.839791,7.54688
-16.4713,0.981215,0.118741,5,31,0,17.7786,0.92682,0.783184,3.63062
-18.9716,0.957628,0.118741,4,31,0,21.8878,0.151756,0.847922,14.8754
-16.8346,0.999604,0.118741,4,15,0,19.8641,0.394752,0.911024,15.9553
-16.4545,0.996565,0.118741,4,15,0,17.7128,0.480777,0.936505,13.4389
-16.1714,0.994008,0.118741,4,31,0,22.1698,0.932328,0.7021,3.59547
-16.3428,0.993874,0.118741,5,31,0,17.8749,0.503319,0.617949,4.75088
-15.5231,0.991199,0.118741,4,15,0,16.963,0.820211,0.805817,8.41333
-17.2171,0.970415,0.118741,4,15,0,17.6101,0.779935,0.91872,5.21991
-16.8698,1,0.118741,2,3,0,17.2503,0.779678,0.911541,5.46263
-15.5547,0.999284,0.118741,4,15,0,17.5725,0.756722,0.907029,11.5949
-15.2831,0.98737,0.118741,4,31,0,17.3155,0.807165,0.811403,5.35593
-15.288,0.999181,0.118741,4,31,0,15.5152,0.709451,0.764479,6.80589
-15.2246,0.999935,0.118741,4,31,0,15.477,0.717755,0.759602,6.4266
-16.3978,0.991332,0.118741,4,23,0,17.6977,0.942864,0.8145,4.57577
-16.6393,0.994059,0.118741,5,31,0,18.0824,0.955059,0.610423,3.80817
-18.4453,0.983175,0.118741,4,15,0,19.4464,0.92452,0.374135,3.00037
-15.3377,0.93561,0.118741,4,15,0,19.9798,0.855233,0.825499,6.74644
-15.4608,0.996289,0.118741,3,15,0,15.6,0.819698,0.833672,5.45764
-16.364,0.986444,0.118741,3,7,0,16.7318,0.832556,0.811539,3.46408
-16.4223,0.998975,0.118741,5,47,0,17.634,0.624197,0.901727,16.3081
-16.1751,0.994628,0.118741,5,39,0,17.158,0.837467,0.878515,5.45298
-15.8792,0.993825,0.118741,5,35,0,18.1859,0.828353,0.886786,6.69269
-16.6636,0.999927,0.118741,5,31,0,16.9846,0.835886,0.917182,16.9598
-16.7663,0.991929,0.118741,4,31,0,18.084,0.637517,0.880201,16.1112
-16.6251,0.998334,0.118741,4,31,0,17.6713,0.795311,0.926144,17.2607
-15.7135,0.999588,0.118741,3,15,0,17.3168,0.698047,0.919141,12.3909
-18.1052,0.987884,0.118741,4,31,0,18.9691,0.955796,0.9485,10.2565
-17.0553,0.998894,0.118741,4,15,0,19.0101,0.966776,0.89913,8.2125
-16.4896,0.993274,0.118741,2,7,0,18.0671,0.956675,0.879324,9.69454
-17.8917,0.996691,0.118741,5,31,0,18.7751,0.972963,0.570124,4.85724
-18.8702,0.999373,0.118741,5,31,0,19.8046,0.18252,0.949361,17.7785
-18.6177,0.999673,0.118741,5,31,0,19.7793,0.980532,0.932596,7.98859
-17.244,0.999959,0.118741,3,7,0,18.7033,0.977881,0.897742,10.3532
-18.0924,0.993377,0.118741,3,7,0,18.1889,0.983917,0.907705,7.50581
-16.4225,0.998077,0.118741,4,31,0,18.719,0.945532,0.791177,7.97029
-16.2902,0.975428,0.118741,2,7,0,18.5197,0.912484,0.835754,4.58159
-15.6529,0.998959,0.118741,5,31,0,16.8144,0.511897,0.725658,5.8577
-15.2853,0.999266,0.118741,4,31,0,16.1231,0.807462,0.808239,5.26399
-15.7751,0.989325,0.118741,3,11,0,17.2816,0.725384,0.673683,5.75937
-18.9158,0.975188,0.118741,5,31,0,23.207,0.995749,0.674637,3.33262
-18.5411,0.997838,0.118741,3,15,0,19.3044,0.994234,0.712926,3.51842
-18.2726,0.998468,0.118741,4,15,0,19.0473,0.99467,0.746084,5.16285
-18.8097,0.991364,0.118741,4,15,0,19.4212,0.995906,0.635934,3.93282
-20.9405,0.980912,0.118741,5,63,0,24.1566,0.999245,0.733296,3.18575
-18.0764,0.999445,0.118741,5,31,0,21.5883,0.979281,0.935839,11.2341
-15.8355,0.995472,0.118741,4,23,0,20.7262,0.596699,0.614298,3.57538
-15.6526,0.997364,0.118741,2,7,0,16.4787,0.625789,0.636036,3.60256
-15.726,0.988234,0.118741,4,15,0,16.3389,0.715484,0.608645,3.37069
-16.2777,0.995098,0.118741,5,31,0,17.2214,0.885743,0.917119,14.4441
-16.6045,0.988384,0.118741,5,31,0,18.2272,0.875909,0.851466,4.05727
-15.8988,0.999946,0.118741,3,7,0,16.6879,0.885045,0.84153,5.18976
-16.6371,0.978467,0.118741,4,15,0,18.5373,0.902512,0.853405,4.3047
-17.6869,0.991176,0.118741,4,15,0,18.4905,0.733932,0.596194,6.51928
-20.1683,0.996742,0.118741,5,47,0,20.927,0.552577,0.891169,19.7963
-19.7223,0.998128,0.118741,5,31,0,21.3911,0.34804,0.940383,19.7242
-17.8048,0.998418,0.118741,5,31,0,20.498,0.40541,0.919018,18.4984
-17.4192,0.995898,0.118741,5,31,0,19.9325,0.354293,0.920424,6.25102
-17.9646,0.992096,0.118741,3,11,0,19.9957,0.149662,0.829976,10.0519
-17.9599,0.999008,0.118741,5,31,0,20.3671,0.171567,0.89758,14.889
-16.8667,0.999785,0.118741,4,15,0,18.08,0.292144,0.92146,11.9875
-15.9323,0.993214,0.118741,3,15,0,21.5851,0.536703,0.918191,13.0684
-16.5887,0.994121,0.118741,4,31,0,18.8778,0.965852,0.737445,4.1694
-15.4231,0.999665,0.118741,5,31,0,17.0141,0.675233,0.652874,4.25617
-15.1803,0.994595,0.118741,5,31,0,15.9158,0.668804,0.851114,8.59084
-15.348,0.999546,0.118741,5,31,0,15.516,0.59395,0.872972,9.57098
-15.1239,0.999765,0.118741,4,23,0,15.556,0.758433,0.831756,6.95286
-16.0965,0.996143,0.118741,4,23,0,16.5096,0.857234,0.57208,3.26665
-17.2795,0.982445,0.118741,4,31,0,21.6177,0.982938,0.806312,5.02624
-18.0308,0.985825,0.118741,3,7,0,18.3263,0.977144,0.828741,3.62167
-16.4501,0.999902,0.118741,3,7,0,18.1471,0.965236,0.764203,5.26626
-15.7458,0.998223,0.118741,4,31,0,17.4791,0.471695,0.878388,10.8129
-15.627,0.99999,0.118741,3,7,0,15.7861,0.500061,0.875827,10.4787
-15.7399,0.999145,0.118741,3,7,0,15.7674,0.497544,0.869465,11.1502
-17.0821,0.993528,0.118741,4,15,0,17.3393,0.323306,0.872564,13.9331
-16.9927,0.996766,0.118741,4,15,0,17.9002,0.319846,0.930733,10.3885
-16.7464,0.997399,0.118741,4,31,0,18.9275,0.864161,0.89405,15.9387
